x,y,sigma,"F[1](x)","F[2](x)","F[3](x)","F[4](x)","F[5](x)","F[6](x)","F[7](x)","F(x)","y-F(x)","abs(y-F(x))","(y-F(x))/s"
0.465,763.054,44.7996,5.22396e-20,6.71351,482.288,1.62183e-37,2.2323e-23,1.10275e-44,3.0628e-89,489.002,274.052,274.052,6.1173
0.47,1245.72,50.04,3.52023e-21,3.29255,890.59,5.87999e-35,2.57856e-22,1.42532e-43,1.38373e-87,893.882,351.834,351.834,7.03106
0.475,1847.39,55.8391,2.21622e-22,1.54207,1554.35,1.7493e-32,2.83211e-21,1.78616e-42,6.03979e-86,1555.89,291.499,291.499,5.22034
0.48,2783.92,63.7574,1.30353e-23,0.689705,2563.99,4.27038e-30,2.9577e-20,2.17021e-41,2.54701e-84,2564.68,219.245,219.245,3.43875
0.485,4079.19,73.2735,7.1631e-25,0.294585,3997.46,8.55435e-28,2.93703e-19,2.55655e-40,1.03771e-82,3997.75,81.4372,81.4372,1.11141
0.49,5782.04,84.1368,3.67747e-26,0.120156,5890.48,1.40612e-25,2.77314e-18,2.91999e-39,4.0847e-81,5890.6,-108.556,108.556,-1.29024
0.495,7975.35,96.3224,1.76387e-27,0.0468026,8203.83,1.89661e-23,2.48969e-17,3.23356e-38,1.5534e-79,8203.87,-228.526,228.526,-2.37252
0.5,10415,108.268,7.90411e-29,0.0174093,10798.9,2.09917e-21,2.12535e-16,3.47178e-37,5.70745e-78,10799,-384.001,384.001,-3.54676
0.505,12958.7,119.453,3.30909e-30,0.00618419,13435.2,1.90649e-19,1.72514e-15,3.61408e-36,2.026e-76,13435.2,-476.492,476.492,-3.98895
0.51,15476.5,129.572,1.2943e-31,0.00209783,15798.2,1.42081e-17,1.33146e-14,3.64767e-35,6.94824e-75,15798.2,-321.655,321.655,-2.48244
0.515,17116.2,135.757,4.72963e-33,0.000679591,17557.7,8.68875e-16,9.77104e-14,3.5695e-34,2.30223e-73,17557.7,-441.524,441.524,-3.25231
0.52,18504.7,140.78,1.6147e-34,0.000210239,18442.9,4.36007e-14,6.81812e-13,3.38666e-33,7.36987e-72,18442.9,61.7577,61.7577,0.438682
0.525,18593.7,141.096,5.15019e-36,6.21106e-05,18310,1.79534e-12,4.52375e-12,3.11536e-32,2.27934e-70,18310,283.688,283.688,2.01061
0.53,17593.2,137.503,1.5347e-37,1.75229e-05,17181,6.0662e-11,2.85392e-11,2.77855e-31,6.81076e-69,17181,412.266,412.266,2.99824
0.535,15611.1,130.092,4.27263e-39,4.72102e-06,15237.2,1.68191e-09,1.71197e-10,2.40271e-30,1.96617e-67,15237.2,373.874,373.874,2.87392
0.54,13130.1,120.175,1.11131e-40,1.21466e-06,12772.1,3.82655e-08,9.76471e-10,2.01445e-29,5.48382e-66,12772.1,358.018,358.018,2.97914
0.545,10465.1,108.517,2.7005e-42,2.98442e-07,10118.5,7.14376e-07,5.29581e-09,1.63751e-28,1.47769e-64,10118.5,346.644,346.644,3.19437
0.55,7730.12,95.0789,6.13087e-44,7.0025e-08,7576.53,1.09437e-05,2.73097e-08,1.29058e-27,3.847e-63,7576.53,153.589,153.589,1.61539
0.555,5399.86,81.9085,1.30038e-45,1.56905e-08,5361.96,0.000137568,1.33909e-07,9.86191e-27,9.67607e-62,5361.96,37.9013,37.9013,0.462727
0.56,3429.23,68.8331,2.57683e-47,3.35742e-09,3586.54,0.00141901,6.24329e-07,7.30648e-26,2.35133e-60,3586.54,-157.313,157.313,-2.28543
0.565,2064.08,58.0775,4.77058e-49,6.86063e-10,2267.39,0.0120108,2.76775e-06,5.24842e-25,5.52033e-59,2267.41,-203.324,203.324,-3.50091
0.57,1094.28,49.0306,8.25137e-51,1.33879e-10,1354.81,0.0834212,1.16668e-05,3.65529e-24,1.25215e-57,1354.89,-260.61,260.61,-5.31525
0.575,513.683,42.72,1.33337e-52,2.49486e-11,765.114,0.475441,4.6761e-05,2.46824e-23,2.74399e-56,765.59,-251.907,251.907,-5.8967
0.58,240.15,39.4208,2.013e-54,4.43986e-12,408.389,2.22348,0.000178208,1.61595e-22,5.80964e-55,410.613,-170.463,170.463,-4.32419
0.585,94.5423,37.5766,2.83926e-56,7.54536e-13,206.026,8.53269,0.000645775,1.02574e-21,1.18837e-53,214.559,-120.017,120.017,-3.19392
0.59,76.7251,37.4032,3.74142e-58,1.22456e-13,98.2353,26.8693,0.00222507,6.31283e-21,2.34852e-52,125.107,-48.3816,48.3816,-1.29352
0.595,105.752,37.8682,4.60614e-60,1.89787e-14,44.2703,69.4292,0.00728984,3.76688e-20,4.48408e-51,113.707,-7.95523,7.95523,-0.210077
0.6,201.893,39.2046,5.29793e-62,2.80894e-15,18.8563,147.213,0.0227092,2.17928e-19,8.27162e-50,166.092,35.8016,35.8016,0.913199
0.605,288.435,40.3856,5.69305e-64,3.97015e-16,7.591,256.133,0.0672658,1.22241e-18,1.47416e-48,263.791,24.6435,24.6435,0.610205
0.61,378.659,41.5812,5.71549e-66,5.3587e-17,2.88829,365.68,0.189451,6.64803e-18,2.53828e-47,368.758,9.90137,9.90137,0.238121
0.615,411.852,42.0714,5.36081e-68,6.90716e-18,1.03868,428.405,0.507354,3.50544e-17,4.2225e-46,429.951,-18.0991,18.0991,-0.430201
0.62,372.296,41.6893,4.69761e-70,8.50214e-19,0.353038,411.836,1.29192,1.79211e-16,6.78638e-45,413.481,-41.1845,41.1845,-0.987892
0.625,342.277,41.4126,3.84585e-72,9.99412e-20,0.113412,324.871,3.12801,8.88301e-16,1.05377e-43,328.112,14.1647,14.1647,0.342039
0.63,254.078,40.4104,2.94155e-74,1.12189e-20,0.0344348,210.288,7.20131,4.26902e-15,1.58085e-42,217.523,36.5543,36.5543,0.904577
0.635,127.983,38.8844,2.10199e-76,1.20266e-21,0.00988176,111.695,15.7639,1.98916e-14,2.29125e-41,127.469,0.514026,0.514026,0.0132193
0.64,88.2763,38.4187,1.40331e-78,1.23119e-22,0.00268022,48.6822,32.8116,8.98636e-14,3.20843e-40,81.4965,6.77985,6.77985,0.176472
0.645,64.2425,38.1314,8.75277e-81,1.20363e-23,0.000687076,17.411,64.9383,3.93614e-13,4.3406e-39,82.35,-18.1075,18.1075,-0.474871
0.65,64.1647,38.1314,5.10043e-83,1.1237e-24,0.000166471,5.10967,122.204,1.67159e-12,5.67344e-38,127.313,-63.1488,63.1488,-1.65609
0.655,96.2149,38.5227,2.77675e-85,1.00184e-25,3.81216e-05,1.23049,218.664,6.88278e-12,7.1644e-37,219.895,-123.68,123.68,-3.21056
0.66,339.329,41.509,1.41233e-87,8.52965e-27,8.25091e-06,0.243154,372.032,2.7477e-11,8.74081e-36,372.275,-32.9461,32.9461,-0.79371
0.665,581.414,44.2606,6.71128e-90,6.93511e-28,1.68784e-06,0.0394277,601.858,1.06353e-10,1.03029e-34,601.897,-20.4828,20.4828,-0.462777
0.67,869.376,47.3181,2.9795e-92,5.38473e-29,3.26334e-07,0.00524612,925.799,3.99117e-10,1.1733e-33,925.805,-56.4285,56.4285,-1.19254
0.675,1323.12,51.7977,1.23581e-94,3.99266e-30,5.96335e-08,0.000572784,1354.1,1.4522e-09,1.2909e-32,1354.1,-30.9769,30.9769,-0.598036
0.68,1962.56,57.5413,4.7888e-97,2.82715e-31,1.02995e-08,5.13169e-05,1883.19,5.12298e-09,1.3722e-31,1883.19,79.3709,79.3709,1.37937
0.685,2624.59,62.9285,1.73369e-99,1.91172e-32,1.68129e-09,3.77265e-06,2490.27,1.75224e-08,1.40922e-30,2490.27,134.319,134.319,2.13447
0.69,3209.12,67.3053,5.8639e-102,1.23449e-33,2.59399e-10,2.27588e-07,3131.19,5.81081e-08,1.39823e-29,3131.19,77.9325,77.9325,1.1579
0.695,3732.06,70.9718,1.85298e-104,7.61269e-35,3.78262e-11,1.1266e-08,3743.54,1.86833e-07,1.34034e-28,3743.54,-11.4746,11.4746,-0.161678
