"thth","T200","T300","T400","T500","T600","T700","T800","T900"
12.69903,-68.92092,-11.40601,47.70812,106.73521,166.79406,232.2649,308.61392,395.68708
12.71947,-70.62521,-8.22346,48.4376,107.84734,166.92484,231.85344,308.84738,395.74448
12.73992,-70.05705,-9.74199,46.56661,108.89609,166.89208,231.92563,308.79811,396.05729
12.76037,-71.42984,-10.73681,46.85651,107.2037,166.49193,232.03771,308.5277,395.76031
12.78081,-70.27883,-9.62645,46.85302,106.5238,166.75255,231.96589,308.45684,396.09615
12.80126,-69.58722,-11.39696,48.75547,107.87224,166.76427,231.99458,308.65065,396.13313
12.8217,-70.59557,-10.37956,47.96771,107.6287,166.43141,232.04141,308.918,395.68708
12.84215,-67.50351,-10.33941,47.21594,106.83292,166.86885,232.16255,308.38819,395.82214
12.8626,-70.08194,-11.16914,47.21984,107.98573,167.02781,231.97208,308.51586,396.02557
12.88304,-70.20412,-10.48693,48.72698,107.07125,166.45797,232.00958,308.74375,395.90005
12.90349,-71.80833,-9.87195,46.78911,108.33,166.60724,231.94323,308.66319,395.72292
12.92394,-70.26601,-10.07156,48.70203,107.10354,166.99813,231.88708,308.55463,395.75687
12.94438,-69.00276,-10.09894,48.67625,108.66458,166.6988,232.21417,308.64258,395.77458
12.96483,-70.3653,-10.51378,45.1262,107.46896,166.73807,231.96667,308.63332,395.68708
12.98528,-72.60719,-11.16535,48.33828,108.27521,166.59104,231.86333,308.54789,395.96755
13.00572,-68.92402,-10.18046,47.96859,107.5426,166.93724,232.10568,308.4282,395.68708
13.02617,-69.66709,-10.67976,46.95953,107.37016,166.86151,232.02625,308.86873,395.68708
13.04662,-71.582,-8.40275,47.87443,108.47536,166.79453,231.8149,308.87233,395.68708
13.06706,-69.83073,-10.83952,46.85615,109.11839,166.92536,232.19885,308.62998,395.84292
13.08751,-71.42008,-9.82034,48.31682,108.8674,166.76844,231.92359,308.55984,395.7412
13.10795,-69.45888,-10.89865,45.5151,108.07969,166.9913,231.93479,308.62928,395.8838
13.1284,-69.42651,-9.86094,47.55896,107.96187,166.71927,232.14073,308.48437,395.88073
13.14885,-69.42943,-11.21592,46.76031,107.79656,166.7275,232.09458,308.49899,395.68708
13.16929,-68.95552,-10.51378,47.30234,108.20813,166.5787,231.81615,308.66368,395.7774
13.18974,-69.50423,-10.56135,47.32073,108.88099,166.81057,232.00958,308.40718,396.07703
13.21019,-71.57549,-9.21332,47.62354,106.19339,166.84104,232.15771,308.43604,395.68708
13.23063,-70.91262,-10.98798,47.68328,108.95188,166.60339,232.07464,308.68385,395.80995
13.25108,-69.41098,-11.49802,46.99755,110.11464,166.85562,231.76615,308.64146,395.99563
13.27153,-69.85699,-9.26203,46.84849,107.9799,166.98677,232.27698,308.39824,395.68708
13.29197,-71.60121,-10.56684,45.93094,107.73974,166.97604,232.06286,308.5266,395.68687
13.31242,-70.13083,-10.25717,47.25484,109.30635,166.71323,231.84531,308.61173,395.77094
13.33287,-70.0852,-9.0854,47.63094,107.00839,166.58036,232.06203,308.71235,395.77297
13.35331,-71.54447,-10.05692,47.20224,108.2575,166.8487,232.17583,308.62003,395.77297
13.37376,-71.54092,-10.65239,47.70344,108.27672,166.96464,232.01781,308.41934,395.68708
13.3942,-68.8948,-10.52669,47.16229,108.77495,166.65031,232.03365,308.48082,395.73938
13.41465,-69.76436,-9.13566,46.62312,106.94922,166.60161,231.84589,308.59901,395.82318
13.4351,-70.83945,-9.55577,47.37406,106.90729,166.84438,232.00958,308.73997,395.99667
13.45554,-70.88271,-9.74686,46.54438,108.60297,166.8263,232.08708,308.26532,395.83964
13.47599,-69.2126,-8.97635,47.80578,108.56271,166.49214,232.07229,308.41858,395.68708
13.49644,-71.42815,-10.27392,47.17802,107.94365,166.93464,232.16891,308.68025,395.96719
13.51688,-71.67921,-11.18393,46.76089,107.51339,166.85958,231.92635,308.52147,396.03573
13.53733,-70.09191,-9.22602,46.95661,107.36422,166.52786,231.9524,308.36322,395.91474
13.55778,-70.21044,-10.25524,47.77302,107.80052,166.67292,232.03266,308.35377,395.68708
13.57822,-70.16878,-10.46204,47.51641,107.68005,166.89995,231.90516,308.62998,395.74406
13.59867,-69.83169,-11.10738,46.14719,106.74917,166.87745,232.13797,308.44842,395.86995
13.61911,-70.84588,-10.05957,47.25714,109.08406,166.68995,232.00958,308.32908,395.79938
13.63956,-71.55876,-10.98974,46.63297,108.85292,166.7275,231.80109,308.47121,395.84594
13.66001,-70.77036,-10.51378,46.80177,108.88693,166.6212,232.1038,308.506,396.02068
13.68045,-69.46785,-10.11484,47.87667,106.82823,166.84255,232.06682,308.57869,395.75464
13.7009,-71.17571,-9.35644,47.57109,107.4626,166.72422,232.24802,308.57045,395.79651
13.72135,-70.12588,-9.70884,46.61328,107.27307,166.5888,232.09724,308.75112,395.96594
13.74179,-69.4396,-11.19926,47.07359,108.29578,166.94307,232.07443,308.36908,396.22797
13.76224,-70.06124,-10.14524,47.28026,108.08969,166.56922,231.86411,308.25374,395.68708
13.78269,-70.43485,-10.52348,48.31849,108.09141,166.74724,232.00958,308.67063,395.99036
13.80313,-70.72945,-9.7068,45.8574,108.53177,166.8763,231.94146,308.28589,396.23911
13.82358,-69.96294,-9.49495,46.86568,106.91552,166.87891,232.12875,308.54821,395.82458
13.84403,-71.01994,-9.57833,47.50484,108.76724,166.62313,231.9824,308.30127,395.99302
13.86447,-70.22643,-10.18152,47.38672,106.47505,166.57755,232.05188,308.50283,396.04104
13.88492,-70.77654,-11.8675,48.165,108.94781,167.05859,232.05891,308.30399,395.68708
13.90536,-70.63778,-10.65129,47.34635,108.24458,166.7062,231.84891,308.59016,395.80484
13.92581,-69.49919,-9.04289,46.11286,108.75661,166.82135,231.89417,308.58142,395.8187
13.94626,-70.96788,-9.67684,47.59521,108.9301,166.56755,232.23443,308.37556,395.71068
13.9667,-72.02814,-10.61233,47.02651,107.35781,166.71948,232.0837,308.45225,395.77193
13.98715,-68.73524,-11.0371,46.87932,108.55578,166.88844,232.02531,308.48528,395.83719
14.0076,-70.37974,-10.38815,47.48464,107.57693,166.89109,232.16391,308.42247,395.7951
14.02804,-69.51182,-9.52656,47.17625,108.75979,166.61802,231.98688,308.56117,395.71901
14.04849,-70.03967,-9.97544,47.86021,107.32448,166.56323,231.84385,308.42674,395.7176
14.06894,-70.91208,-11.34511,46.86104,108.97698,166.91474,232.00958,308.41918,395.87401
14.08938,-70.77839,-9.94122,45.335,107.30927,166.74266,232.10531,308.56119,395.87891
14.10983,-70.30406,-10.30934,48.36255,107.07802,166.56036,231.9488,308.36071,395.68708
14.13028,-70.29391,-10.17074,47.81854,110.3099,167.06396,232.19313,308.12619,395.79083
14.15072,-68.49411,-8.65514,46.72734,108.2687,166.73766,232.06266,308.63214,395.85245
14.17117,-71.00377,-9.69411,46.71943,106.73385,166.62479,231.72203,308.68483,395.87646
14.19161,-70.71475,-10.7673,47.09271,110.03313,166.72406,232.17625,308.34052,395.68708
14.21206,-70.07539,-10.51378,46.97203,110.31641,166.68219,232.18547,308.50546,395.70297
14.23251,-68.45152,-10.84362,49.15089,107.85323,166.79448,231.98307,308.24686,395.89052
14.25295,-71.02301,-9.85761,47.65469,107.48266,166.72333,232.07516,308.38454,395.84167
14.2734,-71.67726,-10.03751,46.70083,106.99141,166.73307,232.00583,308.69367,395.78208
14.29385,-70.50408,-10.0594,46.76865,108.27,166.81453,232.22422,308.34655,395.73125
14.31429,-70.49138,-9.98329,47.07323,108.6712,166.78542,232.01005,308.48885,395.74937
14.33474,-69.36351,-11.32649,47.31922,108.28766,166.49651,231.92891,308.6281,395.96979
14.35519,-71.08371,-10.74864,47.60313,106.87604,166.84318,232.00958,308.19815,396.00724
14.37563,-70.92695,-9.21684,46.76604,109.75604,167.25766,232.04719,308.45824,395.68708
14.39608,-70.41315,-9.91768,46.29224,109.93818,166.65797,232.12307,308.85427,395.79714
14.41652,-70.22836,-10.92409,47.63688,107.9724,166.52609,232.0349,308.56651,396.01536
14.43697,-70.85039,-10.21168,47.78922,107.94078,166.7275,232.04391,308.30467,395.75526
14.45742,-71.0077,-11.67166,46.59745,106.47547,166.79354,232.10276,308.45014,395.75036
14.47786,-69.92559,-8.91566,46.95979,107.5162,166.64109,231.98031,308.57176,395.68708
14.49831,-69.26819,-10.12304,47.71505,107.88224,166.9551,232.1812,308.34069,395.82542
14.51876,-72.04782,-10.56419,47.33026,109.5999,166.8462,231.95313,308.44279,395.95656
14.5392,-71.02952,-10.65985,46.71245,107.83714,166.81359,231.87161,308.13766,395.84089
14.55965,-69.02318,-10.44947,47.46469,107.67682,166.74974,231.85708,308.55199,395.68911
14.5801,-70.47129,-9.88036,47.37297,108.80401,166.77151,232.00474,308.69214,395.86469
14.60054,-70.81939,-8.86115,46.52328,107.58703,167.04099,232.19271,308.29878,395.95599
14.62099,-70.14013,-10.15213,47.22438,106.42375,166.49484,232.12839,308.30095,395.68708
14.64144,-70.21686,-10.43348,47.06698,109.38823,166.55703,231.85583,308.41026,395.97958
14.66188,-71.28457,-10.88366,46.90198,107.66083,167.03875,232.03344,308.37102,395.81073
14.68233,-70.48079,-9.68697,46.35698,107.99469,166.96865,232.13698,308.14561,395.89089
14.70277,-70.19237,-9.38112,47.68214,107.98599,166.88401,232.00958,308.19098,395.68729
14.72322,-70.38012,-11.01552,48.32068,106.82552,166.71318,231.83812,308.3415,395.68708
14.74367,-70.22082,-11.9288,46.94583,107.38099,166.71505,232.06974,308.25022,395.7638
14.76411,-70.1004,-9.91341,47.71083,108.82682,166.89948,232.10896,308.15931,395.91188
14.78456,-71.63937,-10.15306,46.49708,108.05568,166.83156,231.90932,308.19438,395.7774
14.80501,-69.14518,-10.34441,47.59266,107.76979,166.57979,231.9838,308.25783,395.7788
14.82545,-69.42059,-11.0606,46.28984,107.67635,166.57177,232.07271,308.34158,395.87995
14.8459,-69.30742,-10.719,48.11719,108.13406,166.78422,231.92875,308.29224,395.83984
14.86635,-71.29279,-9.72558,45.92958,107.23849,166.78255,231.96625,308.34719,395.68708
14.88679,-71.00105,-9.95951,46.2725,107.18953,166.88677,232.07896,308.34061,395.72859
14.90724,-69.66591,-10.96136,47.83568,108.09099,166.73865,232.00958,308.4182,396.04245
14.92769,-71.24437,-10.51378,46.6475,109.0587,166.56411,231.8974,308.31437,395.90557
14.94813,-70.17508,-10.89835,46.89099,106.43625,166.76,232.15896,308.2253,395.775
