wavelength,"0","30","60","90"
558.46,0.10859,0.09688,0.07326,0.06309
558.92,0.10862,0.09694,0.07318,0.06298
559.37,0.10864,0.097,0.07307,0.06286
559.82,0.10865,0.09703,0.07298,0.06273
560.27,0.10865,0.09702,0.07287,0.06263
560.72,0.10865,0.09703,0.07279,0.06253
561.18,0.10865,0.09699,0.07273,0.06247
561.63,0.10864,0.09689,0.0727,0.06245
562.08,0.10864,0.0968,0.07274,0.06243
562.53,0.10861,0.09672,0.07277,0.06242
562.99,0.10857,0.09666,0.0728,0.06244
563.44,0.10851,0.09658,0.07277,0.06243
563.89,0.10845,0.09649,0.07275,0.06242
564.34,0.10839,0.09642,0.07269,0.0624
564.79,0.10833,0.09638,0.0726,0.06237
565.25,0.10827,0.09632,0.07247,0.06232
565.7,0.10821,0.09625,0.07236,0.06229
566.15,0.10817,0.09618,0.0722,0.06219
566.6,0.10813,0.09611,0.07204,0.06212
567.05,0.10808,0.09603,0.07188,0.06203
567.5,0.108,0.09594,0.07171,0.06193
567.96,0.10791,0.09584,0.07154,0.06181
568.41,0.1078,0.09574,0.07141,0.06169
568.86,0.10769,0.09562,0.07124,0.06152
569.31,0.10757,0.09551,0.07111,0.06134
569.76,0.10745,0.0954,0.07097,0.06119
570.21,0.10733,0.09527,0.07091,0.06107
570.67,0.10724,0.09514,0.07088,0.06095
571.12,0.10716,0.09497,0.0708,0.06085
571.57,0.10707,0.09481,0.07071,0.0607
572.02,0.10697,0.09466,0.07065,0.06058
572.47,0.10685,0.09451,0.07056,0.06048
572.92,0.10672,0.09435,0.07044,0.06034
573.37,0.10656,0.09416,0.07026,0.06017
573.83,0.10639,0.09397,0.07001,0.05999
574.28,0.1062,0.09377,0.06979,0.05979
574.73,0.106,0.09354,0.06958,0.05959
575.18,0.1058,0.09329,0.06937,0.0594
575.63,0.10559,0.09303,0.06919,0.05921
576.08,0.10537,0.09278,0.06899,0.05897
576.53,0.10515,0.09259,0.06879,0.05875
576.98,0.10492,0.09236,0.06861,0.0585
577.44,0.1047,0.09218,0.06842,0.05827
577.89,0.10447,0.09199,0.06827,0.05809
578.34,0.10425,0.0918,0.06811,0.05792
578.79,0.10405,0.09164,0.06796,0.05777
579.24,0.10385,0.09146,0.06781,0.05766
579.69,0.10367,0.09127,0.06766,0.05752
580.14,0.10349,0.09104,0.06754,0.05742
580.59,0.10332,0.09083,0.06736,0.05734
581.04,0.10315,0.09061,0.06717,0.05726
